epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.027,1.35056,2.36068,1.51928,0.73224,0.64963,0.72975,0.45023,1.1294,1.06336,1.35941,0.000195542,0.000195542,0.000195542
2,305.565,1.36852,1.45576,1.49839,0.62024,0.63537,0.67436,0.42238,1.14361,1.09923,1.45135,0.000385082,0.000385082,0.000385082
3,442.926,1.38302,1.43731,1.51456,0.64624,0.73446,0.72605,0.44638,1.17651,1.12463,1.41895,0.000568153,0.000568153,0.000568153
4,578.976,1.35091,1.38283,1.48835,0.76057,0.7476,0.80098,0.5137,1.08727,0.94007,1.33696,0.000558894,0.000558894,0.000558894
5,715.58,1.31921,1.27726,1.47049,0.78072,0.76448,0.81998,0.55164,0.98925,0.80321,1.28159,0.000549192,0.000549192,0.000549192
6,854.257,1.27603,1.17986,1.43324,0.73481,0.779,0.80851,0.55285,0.99119,0.76948,1.26186,0.00053949,0.00053949,0.00053949
7,991.857,1.2427,1.11581,1.41528,0.79961,0.832,0.85435,0.58893,0.96073,0.70806,1.24488,0.000529788,0.000529788,0.000529788
8,1126.94,1.22382,1.05522,1.39429,0.81944,0.84368,0.86903,0.60143,0.93466,0.68407,1.20462,0.000520086,0.000520086,0.000520086
9,1263.87,1.20505,1.02113,1.38056,0.81916,0.82058,0.86603,0.59836,0.95212,0.64859,1.23179,0.000510384,0.000510384,0.000510384
10,1400.98,1.1972,1.01457,1.37341,0.82671,0.84872,0.88662,0.63363,0.9199,0.62763,1.2124,0.000500682,0.000500682,0.000500682
11,1538.27,1.1519,0.9446,1.35358,0.82886,0.85581,0.88709,0.62654,0.87479,0.60207,1.1667,0.00049098,0.00049098,0.00049098
12,1674.98,1.15479,0.92426,1.34331,0.84323,0.86022,0.89119,0.64225,0.86833,0.56588,1.16033,0.000481278,0.000481278,0.000481278
13,1812.01,1.14736,0.91034,1.3391,0.84616,0.89333,0.91866,0.65826,0.86209,0.54116,1.15774,0.000471576,0.000471576,0.000471576
14,1947.55,1.13076,0.88554,1.33285,0.83537,0.86346,0.90003,0.64794,0.87162,0.54251,1.16989,0.000461874,0.000461874,0.000461874
15,2083.68,1.11285,0.87679,1.32163,0.82652,0.87508,0.90168,0.65509,0.83743,0.53573,1.14261,0.000452172,0.000452172,0.000452172
16,2219.7,1.09784,0.84465,1.31208,0.86743,0.86619,0.90774,0.67183,0.83449,0.50625,1.1304,0.00044247,0.00044247,0.00044247
17,2355.55,1.0721,0.83168,1.29736,0.8709,0.86237,0.91138,0.66247,0.83565,0.52879,1.1318,0.000432768,0.000432768,0.000432768
18,2491.76,1.06907,0.80821,1.29133,0.89431,0.88241,0.92949,0.68006,0.82092,0.50632,1.12724,0.000423066,0.000423066,0.000423066
19,2627.8,1.06389,0.79625,1.28123,0.90197,0.88864,0.92779,0.69222,0.80881,0.49218,1.11692,0.000413364,0.000413364,0.000413364
20,2763.97,1.06683,0.79233,1.28485,0.8717,0.87791,0.9182,0.67785,0.81501,0.50006,1.11979,0.000403662,0.000403662,0.000403662
21,2899.45,1.04872,0.77147,1.27605,0.90363,0.88857,0.93242,0.69842,0.79445,0.45743,1.10134,0.00039396,0.00039396,0.00039396
22,3036.17,1.04013,0.75201,1.26763,0.90122,0.8929,0.94233,0.7077,0.78376,0.44288,1.09605,0.000384258,0.000384258,0.000384258
